ab	a b
llyw	ɬ ɪ u̯
llywy	ɬ ə ʊ̯ i
lolfa	l ɔ l v a
lonciwr	l ɔ n k j ʊ r
lowri	l o u̯ r i
lydan	l ə d a n
lydaw	l ə d a u̯
lyf	l iː v
mab	m aː b
mach	m aː χ
madfall	m a d v a ɬ
mad	m aː d
maent	m a i̯ n t
maes	m a i̯ s
maestref	m e i s d r ɛ v
mag	m aː ɡ
mai	m a i̯
main	m a i̯ n
maint	m a i̯ n t
mair	m a i̯ r
malwod	m a l w ɔ d
mam	m a m
mamoth	m a m ɔ θ
mango	m a ŋ ɡ ɔ
man	m a n
march	m a r χ
marchog	m a r χ ɔ ɡ
masen	m a s ɛ n
mathemateg	m a θ ɛ m a t ɛ ɡ
math	m aː θ
mawrth	m a u̯ r θ
medd	m eː ð
medra	m ɛ d r a
medran	m ɛ d r a n
medren	m ɛ d r ɛ n
medro	m ɛ d r ɔ
mefusen	m ɛ v ɪ s ɛ n
mêl	m eː l
melon	m ɛ l ɔ n
melyngoch	m ɛ l ə ŋ ɡ ɔ χ
melynion	m ɛ l ə n j ɔ n
merch	m ɛ r χ
mercwri	m ɛ r k ʊ r i
mesur	m ɛ s ɪ r
methan	m ɛ θ a n
mether	m ɛ θ ɛ r
methi	m ɛ θ i
metho	m ɛ θ ɔ
methu	m ɛ θ i
mewnol	m ɛ u̯ n ɔ l
mhaith	m̥ a i̯ θ
mhengwin	m̥ ɛ ŋ ɡ w ɪ n
mhen	m̥ ɛ n
mheth	m̥ eː θ
mhobloedd	m̥ ɔ b l ɔ i̯ ð
mhont	m̥ ɔ n t
mhoptai	m̥ ɔ p t a i̯
mhopty	m̥ ɔ p t i
mhrif	m̥ r iː v
mhryfed	m̥ r ə v ɛ d
mhum	m̥ ɪ m
milcant	m i l k a n t
miliwn	m ɪ l j ʊ n
mil	m iː l
milwyr	m ɪ l w ɪ r
mislif	m ɪ s l ɪ v
mlaidd	m l a i̯ ð
moch	m oː χ
modd	m oː ð
mod	m oː d
modrwy	m ɔ d r ʊ i̯
moel	m ɔ i̯ l
moes	m ɔ i̯ s
mollt	m ɔ ɬ t
mol	m ɔ l
môn	m oː n
mordydd	m ɔ r d ɪ ð
môr	m oː r
motél	m ɔ t ɛ l
mrain	m r a i̯ n
mrân	m r aː n
mri	m r iː
mur	m iː r
mẁg	m ʊ ɡ
mwg	m uː ɡ
mwll	m ʊ ɬ
mwncïod	m ʊ ŋ k iː ɔ d
mwnt	m ʊ n t
mwyafrif	m ʊ i̯ a v r ɪ v
mwyalchen	m u i̯ a l χ ɛ n
mwyar	m ʊ i̯ a r
mwyd	m ʊ i̯ d
mwyeilch	m u i̯ e i̯ l χ
mwynach	m ʊ i̯ n a χ
mwynhau	m ʊ i̯ n h a i̯
myfyriwr	m ə v ə r j ʊ r
myfyrwyr	m ə v ə r w ɪ r
mynediad	m ə n ɛ d j a d
myned	m ə n ɛ d
mynwy	m ə n ʊ i̯
mynyddig	m ə n ə ð ɪ ɡ
myrddiwn	m ə r ð j ʊ n
myrdd	m ɪ r ð
myr	m ɪ r
nabl	n a b l
nadredd	n a d r ɛ ð
naet	n a i̯ t
nag	n a ɡ
nail	n a i̯ l
nai	n a i̯
nant	n a n t
nathlu	n a θ l i
nawfed	n a u̯ v ɛ d
naw	n a u̯
nawr	n a u̯ r
negfed	n ɛ ɡ v ɛ d
neidit	n e i̯ d ɪ t
nei	n e i̯
neithiwyr	n e i̯ θ j ʊ i̯ r
neng	n ɛ ŋ
nentydd	n ɛ n t ɪ ð
nerfus	n ɛ r v ɪ s
nerth	n ɛ r θ
nerthoedd	n ɛ r θ ɔ i̯ ð
neuadd	n e i̯ a ð
neuddegfed	n e i̯ ð ɛ ɡ v ɛ d
neud	n e i̯ d
newid	n ɛ u̯ ɪ d
newydd	n ɛ u̯ ɪ ð
newyn	n ɛ u̯ ɪ n
ngair	ŋ a i̯ r
ngâl	ŋ aː l
ngeiriadurwyr	ŋ e i̯ r j a d ɪ r w ɪ r
ngelli	ŋ ɛ ɬ i
nghad	ŋ̊ aː d
nghaint	ŋ̊ a i̯ n t
nghais	ŋ̊ a i̯ s
nghalenigion	ŋ̊ a l ɛ n ɪ ɡ j ɔ n
nghalennig	ŋ̊ a l ɛ n ɪ ɡ
nghalon	ŋ̊ a l ɔ n
nghân	ŋ̊ aː n
nghar	ŋ̊ a r
nghastell	ŋ̊ a s d ɛ ɬ
nghath	ŋ̊ aː θ
nghaws	ŋ̊ a u̯ s
nghell	ŋ̊ ɛ ɬ
nghestyll	ŋ̊ ɛ s d ɪ ɬ
nghi	ŋ̊ iː
nghlyw	ŋ̊ l ɪ u̯
nghosyn	ŋ̊ ɔ s ɪ n
nghrist	ŋ̊ r ɪ s t
nghrwth	ŋ̊ r uː θ
nghusan	ŋ̊ ɪ s a n
nghusanu	ŋ̊ ɪ s aː n i
nghut	ŋ̊ ɪ t
nghwrs	ŋ̊ ʊ r s
nghydbreswylwyr	ŋ̊ iː d b r ɛ s ʊ i̯ l w ɪ r
nghyfiawnder	ŋ̊ ə v j a u̯ n d ɛ r
nghyfreithiwr	ŋ̊ ə v r e i̯ θ j ʊ r
nghymorth	ŋ̊ ə m ɔ r θ
nghymru	ŋ̊ ə m r i
nglân	ŋ l aː n
nglasach	ŋ l a s a χ
nglased	ŋ l a s ɛ d
nglas	ŋ l aː s
nglawio	ŋ l a u̯ j ɔ
ngwain	ŋ w a i̯ n
ngwair	ŋ w a i̯ r
ngwario	ŋ w a r j ɔ
ngweddi	ŋ w eː ð i
ngwin	ŋ w iː n
ngwiwer	ŋ w ɪ u̯ ɛ r
ngwlad	ŋ w l aː d
ngŵr	ŋ uː r
ngwychach	ŋ w ə χ a χ
ngwych	ŋ w iː χ
ngwyddion	ŋ w ə ð j ɔ n
ngŵydd	ŋ ʊ ɪ̯ ð
ngwŷdd	ŋ w iː ð
ngŵyr	ŋ ʊ i̯ r
ngwys	ŋ w iː s
nhad	n̥ aː d
nhalcen	n̥ a l k ɛ n
nhâl	n̥ aː l
nhân	n̥ aː n
nheigr	n̥ e i̯ ɡ r
nheigrod	n̥ e i̯ ɡ r ɔ d
nhe	n̥ eː
nhewed	n̥ ɛ u̯ ɛ d
nhewi	n̥ ɛ u̯ i
nhi	n̥ iː
nhre	n̥ r eː
nhro	n̥ r oː
nhrwydded	n̥ r ʊ i̯ ð ɛ d
nhu	n̥ iː
nhŵr	n̥ uː r
nhŷ	n̥ iː
nid	n ɪ d
ni	n iː
nitrogen	n ɪ t r ɔ ɡ ɛ n
niwclear	n ɪ u̯ k l ɛ a r
niweidio	n ɪ u̯ e i̯ d j ɔ
niwliog	n ɪ u̯ l j ɔ ɡ
niwl	n ɪ u̯ l
nod	n oː d
nofio	n ɔ v j ɔ
nofiwr	n ɔ v j ʊ r
nofwraig	n ɔ v w r a i̯ ɡ
noli	n ɔ l i
nolis	n ɔ l i z
nôl	n oː l
nwyf	n ʊ i̯ v
nyrs	n ə r s
nyth	n iː θ
nythu	n ə θ i
oce	ɔ k ɛ
oddeutu	ɔ ð e i̯ t i
oddf	ɔ ð v
odl	ɔ d l
olddodiad	oː l ð ɔ d j a d
onnen	ɔ n ɛ n
paith	p a i̯ θ
pajamas	p a d͡ʒ a m a z
palmant	p a l m a n t
pam	p a m
pandai	p a n d a i̯
pandy	p a n d i
pan	p a n
pant	p a n t
pa	p aː
parc	p a r k
parddu	p a r ð i
parhau	p a r h a i̯
parotach	p a r ɔ t a χ
parth	p a r θ
pasg	p a s ɡ
pau	p a i̯
pawb	p a u̯ b
pedrongl	p ɛ d r ɔ ŋ l
pedrsill	p ɛ d r s ɪ ɬ
peirianneg	p e i̯ r j a n ɛ ɡ
peiriannol	p e i̯ r j a n ɔ l
peiriannwr	p e i̯ r j a n ʊ r
peiriant	p e i̯ r j a n t
penddu	p ɛ n ð i
penderfynu	p ɛ n d ɛ r v ə n i
pengwin	p ɛ ŋ ɡ w ɪ n
pen	p ɛ n
pentyrru	p ɛ n t ə r i
pêr	p eː r
perseiniol	p ɛ r s e i̯ n j ɔ l
perthi	p ɛ r θ i
pert	p ɛ r t
pesychu	p ɛ s ə χ i
peth	p eː θ
phaith	f a i̯ θ
pharoted	f a r ɔ t ɛ d
phen	f ɛ n
phengwin	f ɛ ŋ ɡ w ɪ n
pheth	f eː θ
phinc	f ɪ ŋ k
phobloedd	f ɔ b l ɔ i̯ ð
phont	f ɔ n t
phopty	f ɔ p t i
phrif	f r iː v
phryfed	f r ə v ɛ d
phum	f ɪ m
phur	f iː r
pibgorn	p ɪ b ɡ ɔ r n
pibonwyen	p ɪ b ɔ n u i̯ ɛ n
pib	p iː b
piglas	p ɪ ɡ l a s
pig	p iː ɡ
pinc	p ɪ ŋ k
pîn	p iː n
pìn	p ɪ n
piso	p ɪ s ɔ
piws	p ɪ u̯ s
plant	p l a n t
plastig	p l a s d ɪ ɡ
pleidiol	p l e i̯ d j ɔ l
plu	p l iː
plwm	p l ʊ m
plwyf	p l ʊ i̯ v
pobloedd	p ɔ b l ɔ i̯ ð
poblog	p ɔ b l ɔ ɡ
pob	p oː b
poena	p ɔ i̯ n a
poenen	p ɔ i̯ n ɛ n
pont	p ɔ n t
popty	p ɔ p t i
porchell	p ɔ r χ ɛ ɬ
porffor	p ɔ r f ɔ r
post	p ɔ s d
pren	p r ɛ n
pridd	p r iː ð
prif	p r iː v
profiad	p r ɔ v j a d
prydael	p r ə d a i̯ l
pryder	p r ə d ɛ r
pryfed	p r ə v ɛ d
prys	p r iː s
pum	p ɪ m
punt	p ɪ n t
pur	p iː r
puteindy	p ɪ t e i̯ n d i
pwyll	p ʊ i̯ ɬ
pwynt	p ʊ i̯ n t
pwy	p ʊ i̯
pydredd	p ə d r ɛ ð
pydru	p ə d r i
pyglyd	p ə ɡ l ɪ d
pyg	p iː ɡ
pyjamas	p ə d͡ʒ a m a z
pymthegfed	p ə m θ ɛ ɡ v ɛ d
pymthegnos	p ə m θ ɛ ɡ n ɔ s
pymtheg	p ə m θ ɛ ɡ
pysgod	p ə s ɡ ɔ d
pys	p iː s
pythefnos	p ə θ ɛ v n ɔ s
rai	r a i̯
rech	r eː χ
rew	r ɛ u̯
rhacs	r̥ a k s
rhaff	r̥ aː f
rhagddodiad	r̥ a ɡ ð ɔ d j a d
rhagfyr	r̥ a ɡ v ɪ r
rhaglenni	r̥ a ɡ l ɛ n i
rhaglen	r̥ a ɡ l ɛ n
rhagrith	r̥ a ɡ r ɪ θ
rhaith	r̥ a i̯ θ
rhannu	r̥ a n i
rhan	r̥ a n
rhaw	r̥ a u̯
rhech	r̥ eː χ
rheg	r̥ eː ɡ
rhew	r̥ ɛ u̯
rhif	r̥ iː v
rhinoseros	r̥ ɪ n ɔ s ɛ r ɔ s
rhin	r̥ iː n
rhi	r̥ iː
rhith	r̥ iː θ
rhiw	r̥ ɪ u̯
rhodia	r̥ ɔ d j a
rhodio	r̥ ɔ d j ɔ
rhodiwch	r̥ ɔ d j ʊ χ
rhodri	r̥ ɔ d r i
rhod	r̥ oː d
rhofio	r̥ ɔ v j ɔ
rho	r̥ oː
rhos	r̥ oː s
rhosyn	r̥ ɔ s ɪ n
rhudd	r̥ iː ð
rhufeiniwr	r̥ ɪ v e i̯ n j ʊ r
rhuthro	r̥ ɪ θ r ɔ
rhwng	r̥ ʊ ŋ
rhwyfo	r̥ ʊ i̯ v ɔ
rhwyf	r̥ ʊ i̯ v
rhwygo	r̥ ʊ i̯ ɡ ɔ
rhwyg	r̥ ʊ i̯ ɡ
rhwyll	r̥ ʊ i̯ ɬ
rhyddhaf	r̥ ə ð h aː v
rhyddid	r̥ ə ð ɪ d
rhydd	r̥ iː ð
rhyfedd	r̥ ə v ɛ ð
rhyfel	r̥ ə v ɛ l
rhywiol	r̥ ɪ u̯ j ɔ l
rhyw	r̥ ɪ u̯
rif	r iː v
rod	r oː d
roedden	r ɔ i̯ ð ɛ n
roeddet	r ɔ i̯ ð ɛ t
roi	r ɔ i̯
ro	r oː
rw	r ʊ
rwyt	r ʊ i̯ t
ryddhaf	r ə ð h aː v
ryddhau	r ə ð h a i̯
rydd	r iː ð
rygbi	r ə ɡ b i
ry	r iː
rywun	r ɪ u̯ ɪ n
saer	s a i̯ r
safbwynt	s a v b ʊ i̯ n t
safle	s a v l ɛ
saith	s a i̯ θ
salamandr	s a l a m a n d r
sallwyr	s a ɬ ʊ i̯ r
salm	s a l m
saltring	s a l t r ɪ ŋ
sant	s a n t
sawl	s a u̯ l
sbaeneg	s b e i̯ n ɛ ɡ
sbaen	s b a i̯ n
sbectol	s b ɛ k t ɔ l
sbwriel	s b ʊ r j ɛ l
sef	s eː v
seiclo	s e i̯ k l ɔ
selotep	s ɛ l ɔ t ɛ p
serch	s ɛ r χ
sêr	s eː r
sesiwn	s ɛ ʃ ʊ n
sgandinafia	s ɡ a n d ɪ n a v j a
sgarff	s ɡ a r f
sgert	s ɡ ɛ r t
sgîl	s ɡ iː l
sgìl	s ɡ ɪ l
sgiwen	s ɡ i u̯ ɛ n
sgôr	s ɡ oː r
sgrech	s ɡ r eː χ
sgwâr	s ɡ w aː r
shibwnsyn	ʃ ɪ b ʊ n s ɪ n
shwd	ʃ ʊ d
siaced	ʃ a k ɛ d
siân	ʃ aː n
sillgoll	s ɪ ɬ ɡ ɔ ɬ
sil	s iː l
siôn	ʃ oː n
siopa	ʃ ɔ p a
siop	ʃ ɔ p
si	s iː
slej	s l ɛ d͡ʒ
smygu	s m ə ɡ i
snwcer	s n ʊ k ɛ r
stopiem	s d ɔ p j ɛ m
stopio	s d ɔ p j ɔ
stopi	s d ɔ p i
stryd	s d r iː d
stŵr	s d uː r
swllt	s ʊ ɬ t
sŵn	s uː n
swnt	s ʊ n t
swper	s ʊ p ɛ r
swyn	s ʊ i̯ n
sw	z uː
sychu	s ə χ i
sylfaen	s ə l v a i̯ n
sylffwr	s ə l f ʊ r
sylwi	s ə l w i
symudliw	s ə m ɪ d l ɪ u̯
syrthio	s ə r θ j ɔ
tad	t aː d
taen	t a i̯ n
taeog	t e i̯ ɔ ɡ
tafarnwr	t a v a r n ʊ r
taflod	t a v l ɔ d
tai	t a i̯
taith	t a i̯ θ
tâl	t aː l
tân	t aː n
tâp	t aː p
tarian	t a r j a n
tatŵs	t a t uː z
tatŵ	t a t uː
tawa	t a u̯ a
tawel	t a u̯ ɛ l
tawe	t a u̯ ɛ
taw	t a u̯
teg	t eː ɡ
teigrod	t e i̯ ɡ r ɔ d
telynor	t ɛ l ə n ɔ r
terfyniad	t ɛ r v ə n j a d
terfynol	t ɛ r v ə n ɔ l
terfynu	t ɛ r v ə n i
tewach	t ɛ u̯ a χ
tewed	t ɛ u̯ ɛ d
tew	t ɛ u̯
teyrn	t e i̯ r n
tgau	t ɡ a i̯
thad	θ aː d
thalcen	θ a l k ɛ n
thal	θ a l
thâl	θ aː l
thân	θ aː n
thaw	θ a u̯
theigrod	θ e i̯ ɡ r ɔ d
theigr	θ e i̯ ɡ r
thei	θ e i̯
thewed	θ ɛ u̯ ɛ d
thew	θ ɛ u̯
theyrnaddoliant	θ e i̯ r n a ð ɔ l j a n t
thi	θ iː
thorrent	θ ɔ r ɛ n t
thorrid	θ ɔ r ɪ d
thor	θ ɔ r
thrawant	θ r a u̯ a n t
thre	θ r eː
throes	θ r ɔ i̯ s
thrwydded	θ r ʊ i̯ ð ɛ d
thud	θ iː d
thu	θ iː
thŵr	θ uː r
thŷ	θ iː
tir	t iː r
ti	t iː
titr	t ɪ t r
tiwb	t ɪ u̯ b
tlawd	t l a u̯ d
tlws	t l uː s
toddf	t ɔ ð v
toes	t ɔ i̯ s
ton	t ɔ n
torheulo	t ɔ r h e i̯ l ɔ
torra	t ɔ r a
torrem	t ɔ r ɛ m
torres	t ɔ r ɛ s
torrid	t ɔ r ɪ d
torri	t ɔ r i
torsen	t ɔ r s ɛ n
torth	t ɔ r θ
tor	t ɔ r
traddodiad	t r a ð ɔ d j a d
trais	t r a i̯ s
tra	t r aː
trawant	t r a u̯ a n t
trefgordd	t r ɛ v ɡ ɔ r ð
treiglad	t r e i̯ ɡ l a d
trên	t r eː n
tre	t r eː
trist	t r ɪ s t
tri	t r iː
troen	t r ɔ i̯ n
troes	t r ɔ i̯ s
troet	t r ɔ i̯ t
troid	t r ɔ i̯ d
trois	t r ɔ i̯ s
troi	t r ɔ i̯
trôi	t r oː i̯
troli	t r ɔ l i
trom	t r ɔ m
tros	t r ɔ s
tro	t r oː
trown	t r o u̯ n
trwsgl	t r ʊ s ɡ l
trwydded	t r ʊ i̯ ð ɛ d
trwyth	t r ʊ i̯ θ
trydan	t r ə d a n
try	t r iː
tsimpansî	t ʃ ɪ m p a n z iː
tud	t iː d
twll	t ʊ ɬ
twmffat	t ʊ m f a t
twndish	t ʊ n d ɪ ʃ
twrch	t ʊ r χ
twr	t ʊ r
tŵr	t uː r
twymyn	t ʊ i̯ m ɪ n
tybaco	t ə b a k ɔ
tybio	t ə b j ɔ
tybiwyd	t ə b j ʊ i̯ d
tydy	t ə d i
tyfu	t ə v i
tymor	t ə m ɔ r
tyndra	t ə n d r a
tynnu	t ə n i
tyrru	t ə r i
tyr	t ɪ r
tyst	t ɪ s d
tŷ	t iː
uchelwydd	ɪ χ ɛ l w ɪ ð
ufelai	ɪ v ɛ l a i̯
ulyfai	ɪ l ə v a i̯
undeg	ɪ n d ɛ ɡ
uniawn	ɪ n j a u̯ n
un	iː n
utgorn	ɪ t ɡ ɔ r n
uwchben	ɪ u̯ χ b ɛ n
uwd	ɪ u̯ d
wain	w a i̯ n
wair	w a i̯ r
wario	w a r j ɔ
weld	w ɛ l d
wella	w ɛ ɬ a
wel	w ɛ l
wennol	w ɛ n ɔ l
wfft	ʊ f d
win	w iː n
wiwer	w ɪ u̯ ɛ r
wlad	w l aː d
wnsach	ʊ n s a χ
woc	w ɔ k
wrth	ʊ r θ
ŵr	uː r
wybr	ʊ i̯ b r
wychach	w ə χ a χ
ŵydd	ʊ ɪ̯ ð
wyddion	w ə ð j ɔ n
wŷdd	w iː ð
ŵyl	ʊ i̯ l
ŵyll	ʊ i̯ ɬ
wylo	ʊ i̯ l ɔ
wŷn	w iː n
wyn	w ɪ n
wyres	ʊ i̯ r ɛ s
ŵyr	ʊ i̯ r
wŷr	w iː r
wysg	ʊ i̯ s ɡ
wythfed	ʊ i̯ θ v ɛ d
ychen	ə χ ɛ n
ych	iː χ
ychwanegiad	ə χ w a n ɛ ɡ j a d
ydfran	ə d v r a n
yf	iː v
ymarfer	ə m a r v ɛ r
ymdeimlad	ə m d e i̯ m l a d
ymherodr	ə m h ɛ r ɔ d r
ymlacio	ə m l a k j ɔ
ymyl	ə m ɪ l
yna	ə n a
yn	ə n
yng	ə ŋ
ynn	ɪ n
yr	ə r
ysbyty	ə s b ə t i
ysgawen	ə s ɡ a u̯ ɛ n
ysgaw	ə s ɡ a u̯
ysmygu	ə s m ə ɡ i
ystad	ə s d a d
ystifflog	ə s d ɪ f l ɔ ɡ
ystradwel	ə s d r a d w ɛ l
ystyried	ə s d ə r j ɛ d
ysu	ə s i
yw	ɪ u̯
